job_id,source_channel,source_id,source_date,source_text,source_views,source_forwards,source_button_links,redirect_location,final_url,page_title,page_h1,page_meta_description,page_canonical_url,page_body_text
572194,ethiojobsofficial,8218,2026-04-27 14:17:13,"**Senior Marketing**
**__at Fetan saving and credit  coop__**

**Categories:** #Sales #Marketing #SocialSciences #CommunityService

**Location:** Addis Ababa

**Deadline:** May 02, 2026

**Career Level:** Senior(5-8 years)

**Number of people required:** 1

**Requirements:**
• Qualification:Education: Degree or above in Marketing or a related field of study.Work Experience: (5) Five years or more of relevant experience.Preference: Experience in Saving and Credit institutions is highly encouraged.",5753,0,"[{""text"": ""Apply Now"", ""url"": ""http://t.me/ethiojobs_netbot?startapp=job_id_572194""}]",/jobs/zRWRQgRZCo-senior-marketing,https://ethiojobs.net/job/zRWRQgRZCo-senior-marketing,Senior Marketing Jobs and Vacancies in Ethiopia | Ethiojobs.,,Looking for jobs in Ethiopia? Explore Fetan saving and credit  coop for the Senior Marketing role. Ethiojobs is the best place to find job opportunities.,https://ethiojobs.net/job/zRWRQgRZCo-senior-marketing,
572208,ethiojobsofficial,8217,2026-04-27 14:15:50,"**Assistant Restaurant Manage**
**__at MODETH Outsource PLC__**

**Categories:** #Hotel #Hospitality

**Location:** Addis Ababa

**Deadline:** May 28, 2026

**Career Level:** Mid Level(3-5 years)

**Experience Level:** 3-5 years

**Number of people required:** 1

**Requirements:**
• Educational Background: Degree or Diploma in Hotel Management, Hospitality, or a related field. Additional certifications in food safety or leadership are a plus.
• Work Experience: Minimum of 4–5 years in the hospitality sector, with at least 2 years in a supervisory or leadership role.  Skills Required
• Leadership & Motivation: Proven ability to lead a team with a positive, professional demeanor.
...",4911,0,"[{""text"": ""Apply Now"", ""url"": ""http://t.me/ethiojobs_netbot?startapp=job_id_572208""}]",/jobs/KgI0PUzQQe-assistant-restaurant-manage,https://ethiojobs.net/job/KgI0PUzQQe-assistant-restaurant-manage,Assistant Restaurant Manage Jobs and Vacancies in Ethiopi...,,Looking for jobs in Ethiopia? Explore MODETH Outsource PLC for the Assistant Restaurant Manage role. Ethiojobs is the best place to find job opportunities.,https://ethiojobs.net/job/KgI0PUzQQe-assistant-restaurant-manage,
572206,ethiojobsofficial,8216,2026-04-27 14:12:25,"**Electro Mechanical Technician (Irrigation Systems & Power Equipment)**
**__at Kerchanshe Trading Company__**

**Categories:** #Agriculture #Engineering

**Location:** Guangua (Dilla Area)

**Deadline:** May 04, 2026

**Career Level:** Senior(5-8 years)

**Number of people required:** 1

**Requirements:**
• Qualification and SkillsEducation:Diploma or Degree in in Electro‑Mechanical Engineering, Electrical Engineering,or related fieldExperience:  8 years of relevant experiance Proven experience with irrigation pumps, generators, and electrical systems Strong understanding of motors, starters, control circuits, and automation basics Ability to read electrical schematics and mechanical drawings Experience with electronic control units and sensors is an advantage Knowledge of safety standards and lock‑out/tag‑out proceduresSkills:Electro‑mechanical troubleshootingPreventive maintenance planningElectrical wiring and panel workGenerator servicing and diagnosticsBasic automation and control systems knowledgeProblem‑s...",3779,0,"[{""text"": ""Apply Now"", ""url"": ""http://t.me/ethiojobs_netbot?startapp=job_id_572206""}]",/jobs/g7mkF4ZH1L-electro-mechanical-technician-irrigation-systems-power-equipment,https://ethiojobs.net/job/g7mkF4ZH1L-electro-mechanical-technician-irrigation-systems-power-equipment,Electro Mechanical Technician (Irrigation Systems & Power...,,Looking for jobs in Ethiopia? Explore Kerchanshe Trading Company for the Electro Mechanical Technician (Irrigation Systems & Power Equipment) role. Ethiojobs...,https://ethiojobs.net/job/g7mkF4ZH1L-electro-mechanical-technician-irrigation-systems-power-equipment,
572203,ethiojobsofficial,8215,2026-04-27 13:16:40,"**Business Trainer and Coach**
**__at BCaD Consulting Management PLC__**

**Categories:** #Economics #Accounting #Finance

**Location:** Addis Ababa

**Deadline:** May 28, 2026

**Career Level:** Senior(5-8 years)

**Number of people required:** 1

**Requirements:**
• Required Profile: Has a second degree in economics, finance, business management, or related disciplines.Has at least five years of relevant experience preparing training syllabi and materials, delivering business training, and advising and coaching youth.Has strong communication and training delivery skills in action learning methods in both Amharic and English languages.Has credible experience in a competency-based learning framework.Has a practical understanding of investors' interests and conducts related due diligence.Is resilient, disciplined, and target driven.Has experience and belief in teamwork.",5155,0,"[{""text"": ""Apply Now"", ""url"": ""http://t.me/ethiojobs_netbot?startapp=job_id_572203""}]",/jobs/2uPH0l9gHY-business-trainer-and-coach,https://ethiojobs.net/job/2uPH0l9gHY-business-trainer-and-coach,Business Trainer and Coach Jobs and Vacancies in Ethiopia...,,Looking for jobs in Ethiopia? Explore BCaD Consulting Management PLC for the Business Trainer and Coach role. Ethiojobs is the best place to find job opportu...,https://ethiojobs.net/job/2uPH0l9gHY-business-trainer-and-coach,
572201,ethiojobsofficial,8214,2026-04-27 13:02:34,"**Project Nurse – Non-Communicable Diseases (NCD)**
**__at ERCS-Arsi- Zonal Branch__**

**Categories:** #HealthCare

**Location:** North-west Zone of Tigray region, North Gondar Zone of Amhara region, Shirka town in Arsi Zone of Oromia region

**Deadline:** May 11, 2026

**Career Level:** Senior(5-8 years)

**Number of people required:** 1

**Requirements:**
• QUALIFICATIONS AND EXPERIENCE Bachelor’s degree in nursing with valid professional licensure. Minimum of 5 years of clinical experience, preferably in NCD care. At least 2 years of experience in project implementation or health program management. Demonstrated experience in managing diabetes, hypertension, and mental health conditions. Experience in humanitarian or low-resource settings is an asset. Experience working with government health systems and NGOs is desirable.  SKILLS AND COMPETENCIES Strong technical knowledge of NCD prevention, management, and integrated care approaches. Proven skills in project planning, implementation, and monitorin...",4913,0,"[{""text"": ""Apply Now"", ""url"": ""http://t.me/ethiojobs_netbot?startapp=job_id_572201""}]",/jobs/JGemBzRACr-project-nurse-non-communicable-diseases-ncd,https://ethiojobs.net/job/JGemBzRACr-project-nurse-non-communicable-diseases-ncd,Project Nurse – Non-Communicable Diseases (NCD) Jobs and ...,,Looking for jobs in Ethiopia? Explore ERCS-Arsi- Zonal Branch for the Project Nurse – Non-Communicable Diseases (NCD) role. Ethiojobs is the best place to fi...,https://ethiojobs.net/job/JGemBzRACr-project-nurse-non-communicable-diseases-ncd,
572199,ethiojobsofficial,8213,2026-04-27 12:53:08,"**Cashier**
**__at Modern Tech Technologies plc__**

**Categories:** #Accounting #Finance

**Location:** Addis Ababa

**Deadline:** May 10, 2026

**Career Level:** Junior Level(1-3 years)

**Experience Level:** 1-3 years

**Number of people required:** 1

**Requirements:**
• Requirement:
• Educational background :    Diploma in accounting;
• unique ability required:    Computer skills, including Peachtree is advantageous;
...",4497,0,"[{""text"": ""Apply Now"", ""url"": ""http://t.me/ethiojobs_netbot?startapp=job_id_572199""}]",/jobs/RbIRw8A4Rh-cashier,https://ethiojobs.net/job/RbIRw8A4Rh-cashier,Cashier Jobs and Vacancies in Ethiopia | Ethiojobs.,,Looking for jobs in Ethiopia? Explore Modern Tech Technologies plc for the Cashier role. Ethiojobs is the best place to find job opportunities. | Find Jobs and Apply Today,https://ethiojobs.net/job/RbIRw8A4Rh-cashier,
572198,ethiojobsofficial,8212,2026-04-27 12:51:08,"**HR Officer**
**__at Modern Tech Technologies plc__**

**Categories:** #HumanResource #Recruitment #Management

**Location:** Addis Ababa

**Deadline:** May 10, 2026

**Career Level:** Mid Level(3-5 years)

**Experience Level:** 3-5 years

**Number of people required:** 1

**Requirements:**
• Requirement:
• Educational background :    Bachelor’s degree in Human Resource Management, Management, Business Administration, or related field.
• Skills & Personal Qualities:    Good understanding of Ethiopian labor laws and HR policies.
...",4057,0,"[{""text"": ""Apply Now"", ""url"": ""http://t.me/ethiojobs_netbot?startapp=job_id_572198""}]",/jobs/wiORBob57y-hr-officer,https://ethiojobs.net/job/wiORBob57y-hr-officer,HR Officer Jobs and Vacancies in Ethiopia | Ethiojobs.,,Looking for jobs in Ethiopia? Explore Modern Tech Technologies plc for the HR Officer role. Ethiojobs is the best place to find job opportunities. | Find Jobs and Apply Today,https://ethiojobs.net/job/wiORBob57y-hr-officer,
572197,ethiojobsofficial,8211,2026-04-27 12:47:53,"**Senior Accountant**
**__at Modern Tech Technologies plc__**

**Categories:** #Accounting #Finance

**Location:** Addis Ababa

**Deadline:** May 10, 2026

**Career Level:** Mid Level(3-5 years)

**Experience Level:** 3-5 years

**Number of people required:** 1

**Requirements:**
• Requirement:     Educational background :    Bachelor Degree in accounting,Public Financeunique ability required:    Computer skills, including Peachtree and IFRS is advantageous;
• Required Experience:      A minimum of 4 years of related work experience;Experiences with PLC Accounting.Highly motivated and able to work independently",4144,0,"[{""text"": ""Apply Now"", ""url"": ""http://t.me/ethiojobs_netbot?startapp=job_id_572197""}]",/jobs/jBxSW3IFc2-senior-accountant,https://ethiojobs.net/job/jBxSW3IFc2-senior-accountant,Senior Accountant Jobs and Vacancies in Ethiopia | Ethioj...,,Looking for jobs in Ethiopia? Explore Modern Tech Technologies plc for the Senior Accountant role. Ethiojobs is the best place to find job opportunities.,https://ethiojobs.net/job/jBxSW3IFc2-senior-accountant,
572193,ethiojobsofficial,8209,2026-04-27 12:02:01,"**Office Assistant**
**__at Nur Hussin Yassin Importer__**

**Categories:** #Business #Administration #Management #Communications #Media #Journalism #Hotel #Hospitality

**Location:** Addis Ababa

**Deadline:** May 06, 2026

**Career Level:** Junior Level(1-3 years)

**Experience Level:** 1-3 years

**Number of people required:** 2

**Requirements:**
• EducationBachelor’s Degree in: Business Administration, Management, communication, Hospitality Management or related fieldExperience2 years of relevant experience. Prior experience in import/export, hospitality, or administrative roles is an advantageSkills and CompetenceProficiency in Ms. Office application (MS Word, Excel, Email)Strong verbal and written communication skillsGood organizational and multitasking abilitiesAttention to detail and accuracyCustomer service orientationLanguages Good Command of English (Required)Personal AttributesHigh level of integrity and reliabilityStrong time management skillsAbility to work under pressure and meet deadlines...",5098,0,"[{""text"": ""Apply Now"", ""url"": ""http://t.me/ethiojobs_netbot?startapp=job_id_572193""}]",/jobs/QLCDTIVk7k-office-assistant,https://ethiojobs.net/job/QLCDTIVk7k-office-assistant,Office Assistant Jobs and Vacancies in Ethiopia | Ethiojobs.,,Looking for jobs in Ethiopia? Explore Nur Hussin Yassin Importer for the Office Assistant role. Ethiojobs is the best place to find job opportunities.,https://ethiojobs.net/job/QLCDTIVk7k-office-assistant,
572192,ethiojobsofficial,8208,2026-04-27 11:29:04,"**Project Manager (Road )(Vacancy Code- Building 009/2026)**
**__at Ethiopian Engineering Corporation__**

**Categories:** #Engineering

**Location:** Anywhere in Ethiopia

**Deadline:** May 07, 2026

**Career Level:** Senior(5-8 years)

**Experience Level:** 5-8 years

**Number of people required:** 3

**Requirements:**
• . M.Sc/B.Sc. in Civil Engineering· 7 years and above experience with at least 2 years as a project manager-in road. · The ideal candidate shall have an international experience/or worked with international companies here in Ethiopia – or must have a proven track record of the successful management of an end-to-end project execution..  The ideal candidate Should specialize  in road construction , Mainly in Asphalt road projects and bridges with extensive practical experience.",6014,0,"[{""text"": ""Apply Now"", ""url"": ""http://t.me/ethiojobs_netbot?startapp=job_id_572192""}]",/jobs/A1SvgjRmiL-project-manager-road-vacancy-code-building-0092026,https://ethiojobs.net/job/A1SvgjRmiL-project-manager-road-vacancy-code-building-0092026,Project Manager (Road )(Vacancy Code- Building 009/2026) ...,,Looking for jobs in Ethiopia? Explore Ethiopian Engineering Corporation for the Project Manager (Road )(Vacancy Code- Building 009/2026) role. Ethiojobs is t...,https://ethiojobs.net/job/A1SvgjRmiL-project-manager-road-vacancy-code-building-0092026,
